question,llm_answer,retrieved_contexts,user_review
공급망금융이란 무엇인가요?,공급망금융은 금융기관이 자금을 미리 지급해주는 거래 기반 금융입니다.,"['공급망금융은 기업 간 거래를 바탕으로 금융기관이 자금을 지원하는 구조입니다.', '이 금융 방식은 거래 안정성을 바탕으로 운용됩니다.']",True
공급망금융은 누가 이용하나요?,공급망금융은 주로 스타트업과 대기업이 공동으로 활용합니다.,"['공급망금융은 대기업 협력사나 중소기업이 자금조달 수단으로 사용합니다.', '특히 대기업과의 안정적 거래 관계가 중요한 요소입니다.']",False
공급망금융과 일반 기업대출의 차이는?,공급망금융은 보통 무담보로 대출이 가능하다고 알려져 있습니다.,"['공급망금융은 매출채권을 담보로 대출이 이루어집니다.', '일반 기업대출은 담보 외에 재무상태를 기준으로 심사합니다.']",False
공급망금융은 담보가 필요한가요?,공급망금융은 일반적으로 별도 담보가 요구됩니다.,"['공급망금융은 매출채권이 담보 역할을 하므로 추가 담보는 요구되지 않습니다.', '금융기관은 매출채권의 신뢰도를 평가합니다.']",False
KB국민은행의 공급망금융 상품에는 어떤 것이 있나요?,"공급망금융 상품에는 KB셀러론, 기업플러스론 등이 포함됩니다.","['KB국민은행은 다양한 공급망금융 상품을 운영하고 있습니다.', '대표 상품으로는 KB셀러론, KB메가셀러론, KB매출더하기론 등이 있습니다.']",False
KB셀러론이란 무엇인가요?,KB셀러론은 대기업 거래처가 대상인 대출 상품입니다.,"['KB셀러론은 중소기업을 위한 매출채권 기반 대출 상품입니다.', '이 상품은 대기업과 거래 중인 중소기업이 대상입니다.']",False
KB메가셀러론과 KB셀러론의 차이는?,KB메가셀러론은 중소기업도 신청 가능합니다.,"['KB메가셀러론은 대기업 및 대형 협력사에 특화된 상품입니다.', '반면, KB셀러론은 중소기업 전용입니다.']",False
공급망금융 대출한도는 어떻게 되나요?,공급망금융의 한도는 고정되어 있으며 업종별로 다릅니다.,"['공급망금융 대출한도는 기업 신용도와 매출채권 규모에 따라 상이합니다.', '신용등급이 높을수록 한도도 증가합니다.']",False
공급망금융 대출금리는 어떻게 산정되나요?,공급망금융 금리는 기본적으로 고정 금리로 제공됩니다.,"['공급망금융 금리는 신용도, 거래 조건, 채권 회수 리스크 등을 종합 고려하여 결정됩니다.', '변동 금리가 적용되기도 합니다.']",False
공급망금융 대출 기간은?,공급망금융은 최대 5년까지 장기 대출이 가능합니다.,"['공급망금융은 보통 단기 자금 조달을 목적으로 하며, 1년 이내 상품이 많습니다.', '일부는 자동 연장도 가능합니다.']",False
